,name,PA,PM,(dommages Neutre),Portée,Force,Sagesse,Intelligence,Puissance,Échangeable :,-special spell-,Attitude,Vitalité,% Critique,Dommages Feu,Dommages Air,Dommages Terre,Dommages Eau,Dommages Neutre,% Résistance Terre,% Résistance Eau,% Résistance Feu,% Résistance Neutre,% Résistance Air,Dommages,Prospection,Résistances Eau,Résistances Air,Résistances Feu,Chance,Agilité,Résistances Terre,Résistances Neutre,Initiative,(dommages Air),(vol Neutre),(dommages Terre),Dommages Poussée,Invocation,(dommages Feu),(vol Eau),Soins,Arme de chasse,(dommages Eau),Fuite,Invocations,Tacle,Retrait PM,Dommages Pièges,Puissance (pièges),(vol Air),Renvoie dommages,Résistances Critiques,(vol Feu),(soins Feu),(vol Terre),Dommages Critiques,Pods,Esquive PM,Esquive PA,Résistances Poussée,Retrait PA,Dommage Terre,Dommage Feu,Dommage Air,Réduit le coût en PA du sort de,Augmente la portée maximale du sort de,Augmente le nombre de lancers maximal par tour du sort de,Rend la portée du sort modifiable,Augmente les Critiques du sort de%,Désactive le lancer en ligne du sort,Désactive la ligne de vue du sort,Réduit l'intervalle de relance du sort de,Augmente le nombre de lancers maximal par cible du sort de,Augmente les Dommages fixes du sort de,Titre :,Quelqu'un vous suit !,Lié au personnage,% Dommages mêlée,% Résistance mêlée,% Résistance distance,% Dommages distance,% Dommages d'armes,% Dommages aux sorts,Craft coopératif impossible.,Utilisations restantes : /,% Résistance aux armes,(dommages Meilleur élément),Ajouter un sort temporaire,ankama_id,type,level,image_urls
744,Bottes Vicieuses,,1.0,,,25.0,50.0,,,,,,350.0,6.0,,12.0,6.0,,6.0,,,,,,,20.0,,14.0,,,50.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14056.0,"{'name': 'Bottes', 'id': 45}",198.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11235.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11235-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11235-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11235-800.png'}"
745,Cape Glaciale,,,,1.0,,50.0,,,,,,350.0,5.0,,,,16.0,,,,10.0,,,,15.0,,,,80.0,,25.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14057.0,"{'name': 'Cape', 'id': 43}",197.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17264.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17264-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17264-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17264-800.png'}"
746,Anneau Glacial,,,,,,40.0,,,,,,250.0,4.0,,,,15.0,,,,,,,,15.0,,,,60.0,,,,,,,,,,,,,,,8.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14058.0,"{'name': 'Anneau', 'id': 17}",197.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9266.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9266-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9266-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9266-800.png'}"
747,Ceinture Glaciale,,,,,,50.0,,,,,,350.0,,,,,20.0,,,9.0,,,9.0,,,,,,70.0,,,,500.0,,,,20.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14059.0,"{'name': 'Ceinture', 'id': 58}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10240.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10240-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10240-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10240-800.png'}"
748,Casque de Missiz Frizz,,,,,40.0,30.0,,40.0,,,,400.0,6.0,10.0,,10.0,10.0,10.0,,,7.0,,7.0,,15.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14060.0,"{'name': 'Chapeau', 'id': 27}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16358.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16358-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16358-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16358-800.png'}"
749,Alliance de Missiz Frizz,,,,,50.0,,50.0,,,,,300.0,3.0,,,10.0,,10.0,,,,,,,,,,,50.0,,10.0,,,,,,,,,,10.0,,,-7.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14061.0,"{'name': 'Anneau', 'id': 17}",198.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9267.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9267-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9267-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9267-800.png'}"
750,Bottes de Missiz Frizz,,1.0,,1.0,60.0,50.0,30.0,,,,,350.0,,10.0,,10.0,10.0,10.0,,,,,,,10.0,12.0,,,30.0,,,12.0,-201.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14062.0,"{'name': 'Bottes', 'id': 45}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11236.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11236-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11236-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11236-800.png'}"
751,Coiffe Ranshi,1.0,,,,,50.0,,75.0,,,,400.0,,,,,,20.0,,,,,,,20.0,,,,,,,,,,,,,,,,15.0,,,,,15.0,,,,,,,,,,-16.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14063.0,"{'name': 'Chapeau', 'id': 27}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16359.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16359-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16359-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16359-800.png'}"
752,Cape de Nileza,,,,1.0,,50.0,80.0,,,,,400.0,,15.0,,,,,10.0,,,,10.0,,15.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14064.0,"{'name': 'Cape', 'id': 43}",198.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17265.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17265-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17265-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17265-800.png'}"
753,Amulette de Nileza,1.0,,,1.0,,40.0,70.0,,,,,300.0,,20.0,,,,,,,10.0,10.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14065.0,"{'name': 'Amulette', 'id': 33}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1228.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1228-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1228-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1228-800.png'}"
754,Bottes de Nileza,,1.0,,,,50.0,60.0,,,,,350.0,5.0,18.0,,,,,,,,,,,15.0,,12.0,12.0,,,12.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066.0,"{'name': 'Bottes', 'id': 45}",199.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11237.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11237-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11237-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11237-800.png'}"
755,Bague Instable,,,,,,50.0,,,,,,200.0,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,15.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14067.0,"{'name': 'Anneau', 'id': 17}",199.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9268.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9268-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9268-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9268-800.png'}"
756,Anneau Instable,,,,,,50.0,,,,,,200.0,,,,,,,,,,,,,,5.0,5.0,5.0,,,5.0,5.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,12.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14068.0,"{'name': 'Anneau', 'id': 17}",199.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9269.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9269-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9269-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9269-800.png'}"
757,Ceinture Instable,,,,2.0,,60.0,,,,,,300.0,12.0,,,,,,,,,,,,20.0,,,,,,,,,,,,,1.0,,,12.0,,,,,,12.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14069.0,"{'name': 'Ceinture', 'id': 58}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10241.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10241-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10241-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10241-800.png'}"
758,Capuche de Sylargh,,,,,60.0,40.0,,,,,,400.0,4.0,,,16.0,,16.0,,,,10.0,,,,,14.0,14.0,,,,,300.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14070.0,"{'name': 'Chapeau', 'id': 27}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16360.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16360-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16360-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16360-800.png'}"
759,Cape de Sylargh,,,,,80.0,60.0,,,,,,350.0,5.0,,,15.0,,15.0,,7.0,7.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14071.0,"{'name': 'Cape', 'id': 43}",198.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17266.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17266-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17266-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17266-800.png'}"
760,Sangle de Sylargh,,,,,70.0,40.0,,,,,,300.0,4.0,,,16.0,,16.0,,,,,10.0,,10.0,,15.0,,,,15.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14072.0,"{'name': 'Ceinture', 'id': 58}",195.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10242.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10242-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10242-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10242-800.png'}"
761,Coiffe du Kanimate,,,,,,60.0,30.0,,,,,300.0,5.0,8.0,8.0,,8.0,,,7.0,,,,,20.0,,,,30.0,30.0,,,,,,,,,,,10.0,,,,,7.0,-4.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14073.0,"{'name': 'Chapeau', 'id': 27}",197.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16361.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16361-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16361-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16361-800.png'}"
762,Cape du Kanimate,,,,1.0,,60.0,30.0,,,,,350.0,,10.0,10.0,,10.0,,10.0,,,10.0,,,15.0,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14074.0,"{'name': 'Cape', 'id': 43}",198.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17267.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17267-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17267-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17267-800.png'}"
763,Amulette du Kanimate,1.0,,,,,30.0,30.0,,,,,300.0,6.0,8.0,8.0,,8.0,,,,,,,,,,20.0,20.0,30.0,30.0,,,-301.0,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14075.0,"{'name': 'Amulette', 'id': 33}",196.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1229.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1229-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1229-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1229-800.png'}"
764,Coiffe du Comte Harebourg,,,,1.0,100.0,60.0,,,,,,500.0,,,,20.0,,20.0,-4.0,-4.0,-4.0,-4.0,-4.0,,30.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14076.0,"{'name': 'Chapeau', 'id': 27}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16362.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16362-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16362-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16362-800.png'}"
765,Anneau du Comte Harebourg,,,,,50.0,50.0,,,,,,350.0,7.0,,,15.0,,15.0,,,,,,,,,,,,,,,-401.0,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14077.0,"{'name': 'Anneau', 'id': 17}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9270.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9270-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9270-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9270-800.png'}"
766,Bottes du Comte Harebourg,,1.0,,,80.0,50.0,,,,,,400.0,,,,20.0,,20.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,15.0,,,,,,,,,,,,-7.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14078.0,"{'name': 'Bottes', 'id': 45}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11238.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11238-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11238-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11238-800.png'}"
767,Coiffe Séculaire,,,,,,40.0,100.0,,,,,300.0,,10.0,10.0,,,,7.0,7.0,,,,,15.0,,15.0,,,40.0,,,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14079.0,"{'name': 'Chapeau', 'id': 27}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16363.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16363-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16363-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16363-800.png'}"
768,Amulette Séculaire,1.0,,,,,40.0,80.0,,,,,300.0,,12.0,12.0,,,,,,8.0,8.0,,,20.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1230.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1230-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1230-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1230-800.png'}"
769,Ceinture Séculaire,,,,1.0,,50.0,80.0,,,,,350.0,7.0,10.0,,,,,,,,,10.0,,,,,,,40.0,,,300.0,,,,,,,,10.0,,,15.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14081.0,"{'name': 'Ceinture', 'id': 58}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10243.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10243-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10243-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10243-800.png'}"
770,Masque du Granduk,,,,0.0,,60.0,,,,,,400.0,4.0,,18.0,,,,8.0,,,8.0,,,15.0,,,,,80.0,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14082.0,"{'name': 'Chapeau', 'id': 27}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16364.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16364-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16364-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16364-800.png'}"
771,Amulette du Granduk,1.0,,,0.0,,50.0,,,,,,350.0,4.0,,15.0,,,,,,,,,,15.0,20.0,20.0,,,100.0,,,,,,,,1.0,,,,,,,,10.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14083.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1231.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1231-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1231-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1231-800.png'}"
772,Épée du Granduk,,,37.0,0.0,,40.0,,,,,,350.0,6.0,,18.0,,,,,,,,,,20.0,,,15.0,,80.0,,,400.0,14.0,,,,,,,,,,,,10.0,,,,,,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14084.0,"{'name': 'Épée', 'id': 80}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6721.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6721-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6721-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6721-800.png'}"
773,Cape du Sinistrofu,,,,,,25.0,,,,,,300.0,5.0,,,-11.0,18.0,,,8.0,,12.0,,,20.0,,,,100.0,,15.0,,,,,,,,,,10.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14085.0,"{'name': 'Cape', 'id': 43}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17268.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17268-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17268-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17268-800.png'}"
774,Amulette du Sinistrofu,1.0,,,1.0,,20.0,,,,,,300.0,5.0,,,-16.0,20.0,,,,8.0,,,,15.0,,20.0,,70.0,,,,,,,,20.0,,,,,,,,,,,,,,,15.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14086.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1232.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1232-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1232-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1232-800.png'}"
775,Bottes du Sinistrofu,,1.0,,,,20.0,,,,,,300.0,,,,-16.0,18.0,,10.0,,,,10.0,,20.0,15.0,,,80.0,,,15.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14087.0,"{'name': 'Bottes', 'id': 45}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11239.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11239-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11239-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11239-800.png'}"
776,Coiffe Cryochrone,,,,1.0,,40.0,60.0,,,,,350.0,6.0,15.0,,,15.0,,,,,,,,10.0,15.0,,,60.0,,15.0,,300.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14088.0,"{'name': 'Chapeau', 'id': 27}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16365.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16365-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16365-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16365-800.png'}"
777,Anneau Cryochrone,,,,1.0,,30.0,40.0,,,,,300.0,,12.0,,,12.0,,,,,,,,,,,,40.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14089.0,"{'name': 'Anneau', 'id': 17}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9271.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9271-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9271-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9271-800.png'}"
778,Amulette Cryochrone,1.0,,,,,40.0,60.0,,,,,300.0,5.0,14.0,,,14.0,,8.0,,,,8.0,,10.0,,,,60.0,,,,300.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14090.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1233.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1233-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1233-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1233-800.png'}"
779,Amulette du Cycloïde,1.0,,,,60.0,30.0,60.0,,,,,400.0,,12.0,12.0,12.0,,12.0,,,8.0,8.0,,,,,,,,60.0,,,,,,,,1.0,,,,,,,,8.0,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14091.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1234.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1234-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1234-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1234-800.png'}"
780,Anneau du Cycloïde,,,,,40.0,,40.0,,,,,300.0,,10.0,10.0,10.0,,10.0,,8.0,,,,,,,,,,40.0,,,300.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14092.0,"{'name': 'Anneau', 'id': 17}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9272.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9272-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9272-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9272-800.png'}"
781,Bottes du Cycloïde,,1.0,,1.0,50.0,50.0,50.0,,,,,350.0,5.0,10.0,10.0,10.0,,10.0,,,,,10.0,,,,,,,50.0,15.0,,,,,,-21.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14093.0,"{'name': 'Bottes', 'id': 45}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11240.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11240-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11240-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11240-800.png'}"
782,Amulette du Strigide,1.0,,,,,40.0,,70.0,,,,400.0,6.0,,,,,,8.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,-16.0,,,,25.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14094.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1235.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1235-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1235-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1235-800.png'}"
783,Ceinture du Strigide,,,,,,50.0,,60.0,,,,350.0,7.0,10.0,10.0,10.0,10.0,10.0,,,,8.0,,,,,,,,,,,400.0,,,,,,,,7.0,,,,,10.0,,,,,,-16.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14095.0,"{'name': 'Ceinture', 'id': 58}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10244.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10244-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10244-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10244-800.png'}"
784,Bottes du Strigide,,1.0,,,,50.0,,75.0,,,,400.0,,13.0,13.0,13.0,13.0,13.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14096.0,"{'name': 'Bottes', 'id': 45}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11241.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11241-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11241-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11241-800.png'}"
785,Amulette du Nocturlabe,1.0,,,,100.0,40.0,,,,,,350.0,-5.0,,,15.0,,,,,,,10.0,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14097.0,"{'name': 'Amulette', 'id': 33}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1236.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1236-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1236-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1236-800.png'}"
